id,distance,nr of squares,distance,nr of squares,distance,nr of squares
1,11.838393244542416,4,49.70110262113829,7,50.35503682799604,7
2,30.0,3,123.41193805599048,12,112.61697998915356,12
3,5.650281539872885,4,81.40292684792065,8,163.1454553392119,16
4,,,,,,
5,5.47213595499958,3,82.96410498906609,13,118.71002883385053,12
6,10.23606797749979,3,83.37944475829148,12,105.59900181858083,12
7,0.0,1,184.11139343413134,18,162.21529650507733,19
8,18.558873956203158,3,8.576491222541474,4,106.99583192001604,10
9,0.0,1,168.81696800666475,17,160.70865697653397,16
10,5.06449510224598,3,119.85975948687918,15,166.80504997657144,17
11,7.0,2,189.75668435776754,15,127.53416855992481,14
12,,,,,,
13,4.23606797749979,3,29.08889358515468,7,187.40542819561372,16
14,21.307766542143632,5,133.26297555848623,16,134.50380334153724,15
15,,,,,,
16,1.4142135623730951,2,173.47112556771998,13,175.83447469272255,15
17,12.899494936611665,4,106.94137885676354,12,177.51207152289342,17
18,,,,,,
19,,,,,,
20,17.598780830477672,6,121.41832854120548,16,112.66272288192238,13
21,,,,,,
22,,,,,,
23,3.6502815398728847,3,83.30059998473699,15,134.45065066150667,12
24,16.42220510185596,4,79.1456646892714,8,159.71331820484275,15
25,1.0,2,150.19541513944318,15,127.31434497092121,17
26,5.242640687119285,3,77.92726326315343,8,133.24117435105217,12
27,,,,,,
28,9.219544457292887,2,111.64702143462266,13,138.81365358364275,17
29,8.0,2,59.47777841152556,7,153.17321620479,15
30,8.23606797749979,4,51.00710634459888,10,127.01340555427826,13
31,17.194173437483137,5,47.497513431784775,10,94.55147221906344,10
32,0.0,1,149.12402113101646,14,85.46713052651538,10
33,,,,,,
34,10.469598700510513,3,41.50206282727454,6,143.74300157993633,15
35,0.0,1,74.54174649660574,7,97.53337811090813,12
36,,,,,,
37,1.0,2,109.87798162778692,18,16.764091950405117,6
38,,,,,,
39,,,,,,
40,7.47213595499958,5,102.31357669782011,10,98.33675913813676,12
41,0.0,1,147.9619838336127,17,156.15501938539407,18
42,,,,,,
43,6.576491222541475,5,109.9654162855444,12,119.45507132822817,16
44,1.0,2,106.33353819063468,14,142.18607656440605,16
45,16.43410700468536,7,114.56148513201063,9,149.42308105973967,14
46,,,,,,
47,2.23606797749979,2,58.30636186132942,8,133.79114547613668,15
48,,,,,,
49,1.0,2,110.26561020920781,14,147.75046263505757,17
50,7.656854249492381,4,84.67295742151474,8,32.97992402003359,9
51,1.0,2,94.50569244647572,9,108.80646247343854,14
52,0.0,1,94.18735432571177,15,110.34697801189319,16
53,7.16227766016838,6,160.19931120809375,17,134.48007505749302,16
54,,,,,,
55,34.3975835020983,5,118.74737728973909,14,165.5049148163626,15
56,,,,,,
57,0.0,1,88.86829279670482,11,119.88386817641812,13
58,13.019764837837085,7,54.649180838005826,11,152.68952501808013,16
59,3.605551275463989,2,155.5800083144421,12,111.47464277175473,15
60,,,,,,
61,2.8284271247461903,2,96.2192666246739,16,190.76896445674168,16
62,1.4142135623730951,2,130.32657173024984,16,141.33142173994074,15
63,,,,,,
64,,,,,,
65,12.84161925296378,6,95.01305562547633,11,87.54100402884069,9
66,65.06455337684152,13,134.9417685851527,16,179.0233463323679,16
67,99.77925877223194,13,59.63700055487446,11,168.37188086995033,16
68,,,,,,
69,25.361554160212005,7,164.0323569465506,17,18.275597653173957,7
70,22.621298708284264,4,152.07525149543676,12,186.37111879748898,17
71,,,,,,
72,41.06461961885621,10,120.71239365807577,16,126.47946662868044,15
73,0.0,1,114.13187595761302,13,87.15240181825352,13
74,152.80785679798245,18,146.74918845055726,15,110.76337197151494,16
75,73.46333024641122,16,159.67118235616346,17,179.39073593521329,18
76,27.270828753164107,8,134.5909768696355,16,176.12770631424883,18
77,71.64681154116042,11,113.36523422919113,14,158.522149562849,15
78,52.98065463413688,11,117.64631627539715,18,161.79887495478997,17
79,18.552643560666496,3,139.87271525470604,14,154.60106683899065,17
80,68.62575593730368,11,151.490055012626,16,176.91557478736863,16
81,,,,,,
82,,,,,,
83,92.12496234982241,14,111.18598172002868,15,172.9747716255535,15
84,,,,,,
85,,,,,,
86,,,,,,
87,125.53934165157169,15,140.60809695393465,15,155.15991342017776,15
88,23.865396631211826,7,104.78371513874515,10,169.52335629686843,16
89,23.233345472033857,13,148.9007877713401,14,183.1852855314499,14
90,31.964194902232524,8,111.53470491089794,16,121.33735175619024,16
91,99.12378732966273,11,152.22819961401072,16,222.4310158077259,16
92,41.596555890442566,11,137.018163718008,15,166.74265276036863,19
93,40.30328877988865,11,87.99735988175179,9,72.85297445588589,13
94,6.650281539872885,5,33.69581093195656,7,148.3649499028838,17
95,27.447509940746006,5,113.63690672877806,12,127.26887852079744,13
96,48.197809332304104,13,163.63389615355084,16,70.92375451879344,12
97,37.35459206770695,11,62.957282979730735,9,121.84176560641637,11
98,16.733044070171104,8,128.42934984401833,17,163.1500138260398,18
99,12.300563079745771,8,173.93222056544775,13,72.46163583118125,9
100,40.130789066374426,7,97.46898518292127,8,123.96128908549667,15
101,4.414213562373095,3,112.10016397257775,13,140.20125885388592,17
102,93.2283146347549,14,106.30607483759246,15,156.51077337392078,18
103,9.255832815336873,6,197.86947478825786,17,117.38533363036694,17
104,68.03291819503633,14,42.32811073330329,6,83.10963659646524,11
